date,Nikki,,
2022/2/9,申込書の記入を始めた。自己推薦書をどう書くか、結構悩む…。でも、この数日で自分のやりたいことがはっきりしてきた気がする。これからの10年、20年を見据えて、一歩踏み出す準備ができてきたよ！,,
2023/1/31,新しい週のスタート。朝は少し寝坊してしまい、バタバタとしたスタートだったが、なんとか時間通りに子供たちと一緒に家を出ることができた。今週も様々な挑戦が待っているが、前向きに取り組んでいこうと思う。,,
2023/2/7,週末前の最後の追い込み。プロジェクトのデッドラインに向けて、最終調整を行う。夜は、久しぶりに夫とデート。子供たちは祖父母に見てもらい、二人だけの時間を大切にした。,,
2024/2/1,週末を前にして、仕事は一段と忙しくなる。しかし、今週も無事に乗り切った。週末は子供たちと一緒に過ごす時間を大切にしたいと思う。夜は大学院のレポート作成に集中。,,
2021/2/1,週末は夫と一緒にベビー用品を見に行った。まだ実際に必要な時期じゃないけど、事前リサーチ。二人でベビーカーやおむつ替えの台を見てると、なんだか不思議な感覚。,,
2023/1/29,週末は家族で動物園へ。子どもたち、動物たちに大興奮。特に息子がキリンに夢中で、あんなに目を輝かせてるの見ると、こっちまで嬉しくなるよね。,,
2022/2/1,週末は家族サービスの日。公園でピクニックしたよ。娘が自転車乗れるようになってきた！最初はビビってたけど、だんだんとコツを掴んできてる。息子も応援してて、なんかほっこり。子供たちの成長、マジで宝物だよね。,,
2021/2/6,仕事でミスをしてしまって、ちょっと落ち込んだ。妊娠してから集中力が散漫になってる気がする。上司にも申し訳ないし、こんなんで仕事と育児、両立できるのかな…。,,
2023/2/8,仕事でちょっとしたトラブルがあって、テンション下がったけど、夜、子どもたちの笑顔見たら、なんか全部吹っ飛んだ。家族って最高の癒し。,,
2022/2/8,仕事から帰って、子供が寝た後の貴重な時間に過去問を解いてみた。久しぶりの勉強は頭を使うけど、新しいことを学ぶ楽しさもある。この挑戦が、将来につながるといいな。,,
2021/2/9,"昨日の喧嘩のことがずっと頭に残っていて、朝から気まずい空気。でも、夫が先に手を差し伸べてくれた。「昨日はごめん、もっとお互いの意見を聞くべきだった」と。私も「私もごめん、ちょっと疲れてたみたいで…」と謝った。

夫から、週末は半日だけ外出して、残りは家でゆっくり過ごすという妥協案を提案された。本当にありがたかったし、そんな夫の思いやりに感謝。喧嘩してしまったけど、このやりとりでまた一歩お互いを理解できた気がする。",,
2022/2/6,最近、将来のキャリアについて真剣に考えてる。子供もいるし、もっとキャリアアップしたいなあと。そこで、大学院進学の可能性を探り始めた日。夜、夫と相談して、応援してもらえることに。めちゃくちゃ励みになる！,,
2021/1/30,今日は友人と久しぶりにランチ。子育ての話や仕事の話で盛り上がった。友人からのアドバイスが意外と役に立ちそう。やっぱり経験者の話は貴重だな。,,
2021/1/27,今日は夫と一緒に将来の家族計画について話し合った日。二人で子供の名前や育て方、どんな家庭を築きたいかなど、夢を膨らませた。なんだかわくわくしてきたな。,,
2024/2/5,今日は疲れてたけど、子供の寝顔を見て元気をもらった。子供のためにも、自分のキャリアをしっかり築いていきたい。夜は、大学院の申込書をダウンロードして、必要書類をチェック。,,
2024/2/8,今日は疲れてたけど、子供の寝顔を見て元気をもらった。子供のためにも、自分のキャリアをしっかり築いていきたい。夜は、大学院の申込書をダウンロードして、必要書類をチェック。,,
2022/2/10,今日は疲れてたけど、子供の寝顔を見て元気をもらった。子供のためにも、自分のキャリアをしっかり築いていきたい。夜は、大学院の申込書をダウンロードして、必要書類をチェック。,,
2022/2/4,今日は大学院選びで悩んで、ネットでランキングや口コミをチェック。でも、やっぱり自分に合ったプログラムを選ぶことが大切だよね。夫とも話し合って、週末にオープンキャンパスに行くことにした！,,
2024/1/28,今日は市場の動向を分析する重要なレポートの締め切りがあった。午後遅くまでかかりきりで、ぎりぎりセーフ。夜は家族で夕食をとり、娘の学校での出来事や息子の保育園での新しい友達の話を聞いた。家族の時間は何よりのリフレッシュだ。,,
2024/2/3,今日は市場の動向を分析する重要なレポートの締め切りがあった。午後遅くまでかかりきりで、ぎりぎりセーフ。夜は家族で夕食をとり、娘の学校での出来事や息子の保育園での新しい友達の話を聞いた。家族の時間は何よりのリフレッシュだ。,,
2023/2/9,今日は家でゆっくり。子どもたちと一緒に映画マラソン。家族でダラダラするのもたまにはいいよね。こんな普通の日が、実は一番幸せかも。,,
2023/2/3,今日は一日中、デスクワークが中心。市場の分析レポートを完成させ、上司に提出。大学院の論文研究のために、少し時間を割いて図書館へ。新しい知見が得られて、有意義だった。,,
2021/2/8,"今日は一日、来週のプレゼンテーション準備に追われた。新しいプロジェクトの提案で、結構プレッシャーを感じてる。データ分析からスライド作成まで、細部にわたって丁寧にチェック。でも、途中で行き詰まってしまって…。

そこで、以前参加したワークショップで学んだ「ブレインストーミング」を試してみることに。自分一人で考えるのではなく、夫にも意見を聞いてみたら、意外なほど新鮮なアイデアが浮かんできた。家族って、思わぬところで支えになるんだなって実感。",,
2023/2/6,今日はひさびさに大学院の友達とZoomで勉強会。みんなで知識を共有するのって、めっちゃ効果的。新しい視点が得られて、モチベーションも上がった！,,
2022/1/29,"今日はちょっと夫とぶつかってしまった。原因は、週末の家族の予定について。私は家でゆっくりしたかったけど、夫はどうしても外出したがって…。最近、疲れが溜まっていたのもあって、ついイライラが爆発。

「いつもあなたの意見ばかり！」って言ってしまったら、夫も「お互いの意見を尊重し合ってるつもりだけど…」と反論。二人とも声を荒げてしまって、ちょっとした冷戦状態に。",,
2021/2/3,今朝は子どもたちを送り出して、いつも通りUBSへ。今日はクライアント向けのプレゼン準備でめちゃ忙しかった。データチェックしてて、小さなミス見つけちゃって。あわや大惨事！でもなんとか間に合わせたよ。夜の大学院の講義はリーダーシップについて。めちゃくちゃ考えさせられた。子供たち寝たあと、勉強時間は短いけど、そのぶん集中してるかな。,,
2022/1/31,今朝は子どもたちを送り出して、いつも通りUBSへ。今日はクライアント向けのプレゼン準備でめちゃ忙しかった。データチェックしてて、小さなミス見つけちゃって。あわや大惨事！でもなんとか間に合わせたよ。夜の大学院の講義はリーダーシップについて。めちゃくちゃ考えさせられた。子供たち寝たあと、勉強時間は短いけど、そのぶん集中してるかな。,,
2023/2/1,今週もようやく金曜日。仕事終わりに同僚とちょっと飲みに行って、ストレス発散。大学院と仕事の両立、しんどいけど、やりがいはある。週末は子どもたちとどっか行こうかな。,,
2021/1/31,金曜日だけど、今日は残業で遅くなっちゃった。夫が夕食を作って待っててくれて、感謝。この支え合い、ずっと大切にしたい。,,
2021/2/2,金曜日だけど、今日は残業で遅くなっちゃった。夫が夕食を作って待っててくれて、感謝。この支え合い、ずっと大切にしたい。,,
2024/1/31,久々に夫とデート夜。子どもたちはおじいちゃんおばあちゃんに預けて、二人だけの時間。久しぶりにゆっくり話せて、マジで幸せ。,,
2022/1/28,久しぶりに夫とデート夜。子供たちは祖父母にお願いして、二人だけの時間を楽しんだよ。夫婦の時間って大切だなあと思った。いろんな話ができて、すごくリフレッシュできた！,,
2023/2/4,家族で公園ピクニック。娘、自転車に挑戦して、ちょっとずつ前進！息子も応援してて、なんかほっこりした。子どもの成長って、マジで宝物。,,
2022/2/7,家族でのんびり過ごす日。子供と公園で遊んで、夫と将来の話をした。大学院進学に向けての不安もあるけど、夫の支えがあると心強い。子供にも良い影響を与えられるように頑張りたい。,,
2024/2/7,一日中、オフィスで資料作成に追われる。夕方には子供たちのお迎え。今日は特に疲れたので、夕食は外食にして家族サービス。子供たちはお気に入りのレストランでの食事に大喜び。,,
2024/2/10,一日中、オフィスで資料作成に追われる。夕方には子供たちのお迎え。今日は特に疲れたので、夕食は外食にして家族サービス。子供たちはお気に入りのレストランでの食事に大喜び。,,
2023/1/28,一日中、オフィスで資料作成に追われる。夕方には子供たちのお迎え。今日は特に疲れたので、夕食は外食にして家族サービス。子供たちはお気に入りのレストランでの食事に大喜び。,,
2024/2/2,また新しい週のスタート。今日は朝からクライアントとの会議でドタバタ。でも、無事に終わってホッと一息。夜は大学院の課題に没頭。勉強って、終わりがないけど、成長してる実感はあるな。,,
2022/1/27,"プレゼンの日。準備の甲斐あって、プレゼンは大成功！クライアントからも上司からも高い評価をもらえた。特に、新たに提案したマーケティング戦略に関心を持ってもらえて、プロジェクトの緑灯が出た瞬間は、本当に嬉しかった。

夫とのブレインストーミングで得たアイデアが大きなポイントになったこと、プレゼン後に上司にも伝えたら、「いいチームワークだね」と褒められた。仕事の成功も大事だけど、それを支えてくれる家族の存在が、今日の一番の収穫かもしれない。",,
2023/2/5,クライアントからの緊急の要望に対応するため、朝から忙しい一日。しかし、チームと協力して無事に解決。夜は、娘の学校の行事に参加。地域のコミュニティーに関わることで、新たな発見もある。,,
2021/1/28,UBSでの一日。最近プロジェクトが山積みで忙しいけど、仕事のやりがいを感じてる。夜は夫と一緒におうちデート。お互いの仕事の話や、今後のことをゆっくり話せて良かった。,,
